Word,Length,Frequency
suchlike,8,1
sue,3,1
sum,3,1
summers,7,1
sun,3,3
sure,4,1
sway,4,1
synods,6,1
syracusa,8,2
syracuse,8,21
syracusian,10,4
syracusians,11,1
take,4,4
taken,5,1
takes,5,1
tardy,5,1
task,4,1
tell,4,4
termed,6,1
than,4,4
that,4,35
the,3,101
thee,4,9
thee?,5,1
their,5,16
them,4,8
then,4,6
there,5,7
therefore,9,4
these,5,2
they,4,9
they'll,7,1
thine,5,1
thing,5,1
this,4,14
those,5,3
thou,4,18
thou?,5,1
though,6,4
thought,7,2
thousand,8,3
threat'ning,11,1
three,5,1
through,7,1
thus,4,3
thy,3,7
till,4,9
time,4,2
timely,6,1
to,2,85
today,5,1
told,4,1
too,3,4
towards,7,1
town,4,4
towns,5,1
traders,7,1
traffic,7,1
tragic,6,1
travel,6,1
traveler,8,1
travels,7,1
tricks,6,1
troubles,8,1
true,4,1
trust,5,2
trusty,6,1
try,3,2
twelve,6,1
twice,5,1
twins,5,2
two,3,6
under,5,2
understand,10,2
undisposed,10,1
unhappy,7,1
unjust,6,1
unkind,6,1
unless,6,1
unmoved,7,1
unseen,6,1
unsought,8,1
unspeakable,11,1
unto,4,5
unwed,5,1
unwilling,9,1
up,2,4
upon,4,11
urging,6,1
us,2,9
utter,5,1
valued,6,1
vapors,6,1
very,4,4
view,4,2
vile,4,1
villain,7,2
violently,9,1
voyages,7,1
walk,4,1
wander,6,1
wanting,7,1
warrant,7,2
was,3,17
wat'ry,6,1
water,5,1
waxed,5,1
we,2,15
wealth,6,1
weary,5,2
wed,3,1
wedded,6,1
wednesday,9,1
weeping,7,1
weepings,8,1
weight,6,2
welcome,7,1
well,4,3
well-dealing,12,1
wend,4,1
went,4,1
were,4,7
werstine,8,1
west,4,1
what,4,16
when,4,6
where,5,6
which,5,5
whilst,6,2
who,3,2
whom,4,8
why,3,4
wide,4,1
wife,4,8
wild,4,1
will,4,15
william,7,1
wilt,4,1
wind,4,2
winged,6,1
wished,6,1
witches,7,1
with,4,22
withal,6,1
within,6,2
without,7,1
witness,7,2
woe,3,2
woes,4,2
woman,5,2
women,5,1
word,4,1
words,5,1
world,5,3
worship,7,2
worthily,8,1
would,5,7
wretched,8,1
wrought,7,1
years,5,1
yet,3,6
you,3,33
you?,4,1
youngest,8,1
your,4,24
yours,5,2
